id;starttime;endtime;description;type;subtype;street;polyline;direction
20250803T084521_5608_733;2025-08-03T08:45:21+01:00;2025-10-31T18:00:00+01:00;Travaux/Maitre d'ouvrage:CPCU/OBJECT:Raccordement Réseau/suppression branchement/31BD de grenelle;CONSTRUCTION;;Bd_Grenelle;48.8518255522583971 2.2917051384317451 48.8527319452462905 2.2907986045753961;ONE_DIRECTION
20250822T091645_206_3404;2025-08-22T09:16:45+01:00;2026-07-31T13:14:00+01:00;Réfection immeuble;CONSTRUCTION;;Quai_Voltaire;48.8592782371535108 2.3301974555390372 48.8595247935827786 2.3294939298820805;ONE_DIRECTION
20251029T210000_5483_3364;2025-10-29T21:00:00+01:00;2025-10-30T05:00:00+01:00;Fermeture nocturne pour travaux DIRIF;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_A3_bretelle_2;48.8652529393257566 2.4176569891621251 48.8652900420498923 2.4185458932844637;ONE_DIRECTION
20240329T161009_1454_1069;2024-03-29T16:10:09+01:00;2050-03-29T09:00:00+01:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8646466309063783 2.4041489084446028 48.8645043011397675 2.4080744444103361 48.8644721789945180 2.4085078347665672;ONE_DIRECTION
20251008T160800_1966_587;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;Reaumur;48.8681713543863481 2.3435996199996345 48.8677609336472898 2.3453555943035682;ONE_DIRECTION
20201110T102206_1352_1223;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8683112793836543 2.4013475520610199 48.8665126433280861 2.3998165913775256;ONE_DIRECTION
20201110T102206_1413_3649;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8683707172224899 2.4013944321609242 48.8683112793836543 2.4013475520610199;ONE_DIRECTION
20251029T210000_5511_966;2025-10-29T21:00:00+01:00;2025-10-30T05:00:00+01:00;Accès_A13_bretelle_12 Fermeture nocturne pour travaux DIRIF;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Auteuil_bretelle_12;48.8486365505164457 2.2534627994487098 48.8490016784413186 2.2531361237632548 48.8491512254695905 2.2529114430976187 48.8492589378452990 2.2525204509201728 48.8492473817207653 2.2519766188428263 48.8491301004514611 2.2514899604627359 48.8489806166357141 2.2510717545625130 48.8487242564046866 2.2505252732095773 48.8485129527725235 2.2500090555512187 48.8484201897245285 2.2495282284262843;ONE_DIRECTION
20250804T075521_614_2205;2025-08-04T07:55:21+01:00;2025-11-28T18:00:00+01:00;Travaux:Maitre d'ouvrage:SAGP/Description:Végétalisation et agrandissement du trottoir coté paire/Mise en sens unique;CONSTRUCTION;;Gay_Lussac;48.8442902611268863 2.3419823520407270 48.8425808799085885 2.3428448823769519;ONE_DIRECTION
20251008T160800_553_3188;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;Reaumur;48.8665630478787989 2.3510270787490217 48.8662189708378136 2.3525203699543034;ONE_DIRECTION
20241003T082352_23_1061;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rue de Rivoli;48.8569525611540811 2.3537289556893217 48.8572903442405249 2.3523857637496040;ONE_DIRECTION
20251029T210000_5512_52;2025-10-29T21:00:00+01:00;2025-10-30T05:00:00+01:00;Accès_A13_bretelle_12 Fermeture nocturne pour travaux DIRIF;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_A13_bretelle_6;48.8468826698989531 2.2547719072647778 48.8475166730557007 2.2544431493756836 48.8481902532886281 2.2538586328789694 48.8486365505164457 2.2534627994487098;ONE_DIRECTION
20251029T210000_5464_3568;2025-10-29T21:00:00+01:00;2025-10-30T05:00:00+01:00;Fermeture nocturne pour travaux DIRIF;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SE_A3_bretelle_4;48.8613021949335007 2.4140296359623230 48.8631013585201757 2.4141224407999697 48.8636834990603646 2.4141825908951349 48.8639890825817460 2.4143748980970496 48.8644104893751674 2.4150357622540843 48.8647566680947065 2.4158654055559756 48.8650311173163558 2.4166837037356541 48.8651612861581697 2.4176603583232854 48.8651747455312986 2.4185474664258901 48.8652931117154665 2.4196155907312202 48.8657457775132187 2.4214103022003473;ONE_DIRECTION
20210915T124542_1908_1445;2021-09-15T12:45:42+01:00;2030-09-15T17:00:00+01:00;"de Guy Moquet jusqu'à la place Clichy interdit au véhicules,sauf (le bus,taxi,vélo); date de fin indefini";ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8849283189359483 2.3266309294573326 48.8836726113451192 2.3272038741403231;ONE_DIRECTION
20240329T161009_1420_56;2024-03-29T16:10:09+01:00;2050-03-29T09:00:00+01:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8647610210920789 2.4013849285854998 48.8646466309063783 2.4041489084446028;ONE_DIRECTION
20241003T082352_22_3630;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8565347605150322 2.3555369116067708 48.8569525611540811 2.3537289556893217;ONE_DIRECTION
20241003T082352_29_2505;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8593667042748976 2.3456528431755985 48.8596349548353999 2.3448214172967252;ONE_DIRECTION
20241003T082352_34_290;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8614986341360549 2.3390796944274990 48.8621582136371160 2.3369915823366560;ONE_DIRECTION
20241003T082352_35_1063;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8621582136371160 2.3369915823366560 48.8626781571862310 2.3353335923384280;ONE_DIRECTION
20241003T082352_176_122;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8591196110789880 2.3464186665443791 48.8593667042748976 2.3456528431755985;ONE_DIRECTION
20241003T082352_283_1246;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8627347716274372 2.3351458671496284 48.8631970496358079 2.3337122499579190;ONE_DIRECTION
20240617T083355_4836_3629;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Av_Daumesnil;48.8402179827036775 2.3927256866092756 48.8396978065303102 2.3950305840152049;ONE_DIRECTION
20241003T082352_370_1743;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8559785960858264 2.3579583705948619 48.8562970658354629 2.3565654101056279;ONE_DIRECTION
20240329T161009_1418_2811;2024-03-29T16:10:09+01:00;2050-03-29T09:00:00+01:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8648661170734044 2.3988440802984492 48.8647610210920789 2.4013849285854998;ONE_DIRECTION
20241003T082352_21_1784;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8562970658354629 2.3565654101056279 48.8565347605150322 2.3555369116067708;ONE_DIRECTION
20241003T082352_279_1892;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8660550420156312 2.3250170913911492 48.8664143349377085 2.3238786009845360 48.8664313043376310 2.3234709497407819;ONE_DIRECTION
20251029T210000_4613_967;2025-10-29T21:00:00+01:00;2025-10-30T05:00:00+01:00;Accès_A13_bretelle_12 Fermeture nocturne pour travaux DIRIF;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Acces_A13_bretelle_12;48.8479917954293725 2.2573271868128399 48.8480686498136265 2.2559497280347336 48.8481258407401313 2.2546507938791427 48.8481527369860444 2.2543845960123150 48.8483212563814035 2.2539309305391608 48.8486365505164457 2.2534627994487098;ONE_DIRECTION
20251008T160800_1977_1801;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;4_Septembre;48.8696927963146379 2.3358698838121628 48.8695136294732748 2.3367895543465687;ONE_DIRECTION
20210915T124542_1918_912;2021-09-15T12:45:42+01:00;2030-09-15T17:00:00+01:00;"de Guy Moquet jusqu'à la place Clichy interdit au véhicules,sauf (le bus,taxi,vélo); date de fin indefini";ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8857844212798653 2.3262525739455784 48.8849283189359483 2.3266309294573326;ONE_DIRECTION
20251008T160800_4061_1250;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;Reaumur;48.8677609336472898 2.3453555943035682 48.8675572048101756 2.3463510004749231;ONE_DIRECTION
20240617T083355_4821_3160;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Av_Daumesnil;48.8398057767013327 2.3950967602499755 48.8403271480399113 2.3927878799449553;ONE_DIRECTION
20210915T124542_1905_959;2021-09-15T12:45:42+01:00;2030-09-15T17:00:00+01:00;"de Guy Moquet jusqu'à la place Clichy interdit au véhicules,sauf (le bus,taxi,vélo); date de fin indefini";ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8866005595843021 2.3258829056671320 48.8857844212798653 2.3262525739455784;ONE_DIRECTION
20201110T102206_1350_109;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8665126433280861 2.3998165913775256 48.8651375726578152 2.3986075359140870;ONE_DIRECTION
20251008T160800_5099_1476;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;Reaumur;48.8669050884945904 2.3494355607320556 48.8665630478787989 2.3510270787490217;ONE_DIRECTION
20251008T160800_1964_856;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;4_Septembre;48.8695136294732748 2.3367895543465687 48.8691745986319077 2.3386088501499116;ONE_DIRECTION
20241003T082352_282_569;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8637319223259254 2.3320446920555993 48.8643927447054551 2.3300736682310164;ONE_DIRECTION
20241003T082352_280_2134;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8653312350356686 2.3272589906352534 48.8660550420156312 2.3250170913911492;ONE_DIRECTION
20251008T160800_1970_3700;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;Reaumur;48.8673645417803044 2.3472975115977643 48.8669050884945904 2.3494355607320556;ONE_DIRECTION
